Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
06/02/2026;29/08/2026;30/08/2026;Casa Apart Antonio;R$ 195;Campos dos Goytacazes;Teste;3;6,3;3;Privado;8,3;5,8;6,7;5,0;6,7;7,5;0.0;N;N;Apartamento;-21.778091;-41.284254
06/02/2026;29/08/2026;30/08/2026;Apto Toulon;R$ 135;Campos dos Goytacazes;Teste;1;10;Sem Classificação;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-21.711973;-41.2991954
06/02/2026;29/08/2026;30/08/2026;Apto Agua 1 quarto;R$ 101;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Apartamento jockey;R$ 135;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7734055;-41.2808555
06/02/2026;29/08/2026;30/08/2026;Campos Centro Adult Only;R$ 152;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7618585;-41.3259571
06/02/2026;29/08/2026;30/08/2026;Apto com área churrasco;R$ 375;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7641713;-41.3540956
06/02/2026;29/08/2026;30/08/2026;Apartamento do Antônio Jockey;R$ 154;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7728626;-41.2815037
06/02/2026;29/08/2026;30/08/2026;Cepop Campos 1;R$ 216;Campos dos Goytacazes;Teste;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-21.7733560580526;-41.2808695538365
06/02/2026;29/08/2026;30/08/2026;Suite Jockey 1;R$ 113;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-21.7734055;-41.2808555
06/02/2026;29/08/2026;30/08/2026;Dom Gabriel 4;R$ 130;Campos dos Goytacazes;Teste;9;3,5;Sem Classificação;Privado;6,5;4,5;4,5;5,0;5,5;5,0;0.0;N;N;Apartamento;-21.772909;-41.281523
06/02/2026;29/08/2026;30/08/2026;Kitinete Antonio X;R$ 325;Campos dos Goytacazes;Teste;2;7,5;3;Privado;7,5;7,5;7,5;6,3;10,0;7,5;0.0;N;N;Apartamento;-21.762036;-41.325839
06/02/2026;29/08/2026;30/08/2026;Apto Jockey 3;R$ 145;Campos dos Goytacazes;Teste;19;4,3;Sem Classificação;Privado;6,1;5,7;4,9;5,5;5,6;5,1;10,0;N;N;Apartamento;-21.772909;-41.281543
06/02/2026;29/08/2026;30/08/2026;Jardim de Allah;R$ 250;Campos dos Goytacazes;Teste;0;0;4;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.756326;-41.327238
06/02/2026;29/08/2026;30/08/2026;Flat jatobás;R$ 150;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7368936849199;-41.3091678372051
